id,sheet_id,source_sheet,row,col,tier,working_name,description,type,secondary_types,status,cluster_id,dedup_reason,name_status,type_status
U2-13,U2,送付画像2,3,1,下位,アクアカワウソ,水をまとった青いカワウソ,水棲,けもの,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U2-14,U2,送付画像2,3,2,下位,マッシュ,旅装をしたキノコ,自然,,採用,D005,旅装キノコの代表案,仮名・要レビュー,暫定・要レビュー
U2-15,U2,送付画像2,3,3,下位,リーフドラゴ,葉と角を持つ緑の子ドラゴン,ドラゴン,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U2-16,U2,送付画像2,3,4,下位,キャンド,体が溶けたロウソクの精,幻魔,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U2-17,U2,送付画像2,3,5,下位,オオミミバット,大耳の紫コウモリ,幻魔,,採用,D002,大耳の紫コウモリの代表案,仮名・要レビュー,暫定・要レビュー
U2-18,U2,送付画像2,3,6,下位,クリスタスネイル,青結晶の殻を持つカタツムリ,水棲,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U2-19,U2,送付画像2,4,1,下位,リーフ,葉をまとった小型獣,けもの,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U2-20,U2,送付画像2,4,2,下位,アワシズク,泡を出す青いしずくスライム,スライム,,除外候補,,ドラクエ系の青スライムを連想しやすい,仮名・要レビュー,暫定・要レビュー
U2-21,U2,送付画像2,4,3,下位,フレアハーミット,岩の体と赤いハサミを持つヤドカリ,水棲,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U2-22,U2,送付画像2,4,4,下位,アストラピリカ,星形の黄色い精,幻魔,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U2-23,U2,送付画像2,4,5,下位,フロストグリフ,青白いグリフォン,鳥翼,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U2-24,U2,送付画像2,4,6,下位,ヴェノスパイダ,紫の小さなクモ,むし,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U2-25,U2,送付画像2,5,1,下位,リーフフォーンア,葉と枝角を持つ子ジカ,けもの,,除外候補,D001,U1-16と意匠・役割が近い,仮名・要レビュー,暫定・要レビュー
U2-26,U2,送付画像2,5,2,下位,フレア,炎をまとった黒い子獣,けもの,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U2-27,U2,送付画像2,5,3,下位,フロストオウルア,氷をまとった白フクロウ,鳥翼,,除外候補,D008,U1-28と意匠・役割が近い,仮名・要レビュー,暫定・要レビュー
U2-28,U2,送付画像2,5,4,下位,トラッププランア,大口の食虫植物,自然,,除外候補,D012,U1-26と意匠・役割が近い,仮名・要レビュー,暫定・要レビュー
U2-29,U2,送付画像2,5,5,下位,アクアランタンフ,青いランタンを持つフード幽霊,不死,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U2-30,U2,送付画像2,5,6,下位,ソルアングラーア,発光器を持つ青いチョウチンアンコウ,水棲,,除外候補,D006,U1-06と意匠・役割が近い,仮名・要レビュー,暫定・要レビュー
U3-01,U3,送付画像3,1,1,下位,アクアスライムア,泡を出す青いスライム,スライム,,除外候補,D003,U6-01と意匠・役割が近い,仮名・要レビュー,暫定・要レビュー
U3-02,U3,送付画像3,1,2,下位,リーフパピー,苔をまとった子犬,けもの,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U3-03,U3,送付画像3,1,3,下位,リーフフェイ,葉の杖を持つ緑の小妖精,自然,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U3-04,U3,送付画像3,1,4,下位,フレアキャンド,炎を灯したロウソク幽霊,不死,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U3-05,U3,送付画像3,1,5,下位,スパイダ,どんぐりを背負ったクモ,むし,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U3-06,U3,送付画像3,1,6,下位,ヴェノバットア,大耳の紫コウモリ,幻魔,,除外候補,D002,U2-17と意匠・役割が近い,仮名・要レビュー,暫定・要レビュー
U3-07,U3,送付画像3,2,1,下位,アクアスネイルア,青い体と橙色の殻のカタツムリ,水棲,,除外候補,D015,U2-06と意匠・役割が近い,仮名・要レビュー,暫定・要レビュー
U3-08,U3,送付画像3,2,2,下位,リーフピピット,葉でできた小鳥,鳥翼,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U3-09,U3,送付画像3,2,3,下位,リーフラビ,花を付けた葉のウサギ,自然,けもの,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U3-10,U3,送付画像3,2,4,下位,フレアスカルア,青い鬼火をまとったガイコツ,不死,,除外候補,D014,U1-08と意匠・役割が近い,仮名・要レビュー,暫定・要レビュー
U3-11,U3,送付画像3,2,5,下位,ソルパピヨ,光球を出す青橙の蝶,むし,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U3-12,U3,送付画像3,2,6,下位,フロッグア,泥をまとったカエル,水棲,,除外候補,D011,U1-19と意匠・役割が近い,仮名・要レビュー,暫定・要レビュー
U3-13,U3,送付画像3,3,1,下位,リーフリザ,葉の耳と尾を持つ緑トカゲ,自然,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U3-14,U3,送付画像3,3,2,下位,フロストレイス,青い鬼火をまとった白い霊体,不死,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U3-15,U3,送付画像3,3,3,下位,ハーミット,巻貝を背負った小さなヤドカリ,水棲,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U3-16,U3,送付画像3,3,4,下位,フレアピピット,炎をまとった黒い小鳥,鳥翼,,除外候補,D010,U5-10と意匠・役割が近い,仮名・要レビュー,暫定・要レビュー
U3-17,U3,送付画像3,3,5,下位,アクアフィン,泡を出す青い魚,水棲,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U3-18,U3,送付画像3,3,6,下位,がえたり,芽が生えた切り株,自然,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U3-19,U3,送付画像3,4,1,下位,シロツノラム,巻角を持つ白い子ヒツジ,けもの,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U3-20,U3,送付画像3,4,2,下位,スモークシェイド,紫の煙でできた影の塊,幻魔,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U3-21,U3,送付画像3,4,3,下位,クリスタアクアン,青い結晶を背負った水の生物,幻魔,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U3-22,U3,送付画像3,4,4,下位,マウス,大耳の砂色ネズミ,けもの,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U3-23,U3,送付画像3,4,5,下位,マッシュア,旅装をしたキノコ,自然,,除外候補,D005,U2-14と意匠・役割が近い,仮名・要レビュー,暫定・要レビュー
U3-24,U3,送付画像3,4,6,下位,フロストラム,氷をまとった青白いヒツジ,けもの,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U3-25,U3,送付画像3,5,1,下位,リーフスネーク,花を咲かせた緑のヘビ,自然,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U3-26,U3,送付画像3,5,2,下位,メデュラア,雲の体を持つクラゲ,水棲,,除外候補,D004,U1-05と意匠・役割が近い,仮名・要レビュー,暫定・要レビュー
U3-27,U3,送付画像3,5,3,下位,リーフゴレムア,苔むした小型岩ゴーレム,物質,,除外候補,D013,U2-03と意匠・役割が近い,仮名・要レビュー,暫定・要レビュー
U3-28,U3,送付画像3,5,4,下位,ポットスライム,葉のふたを持つ緑の壺スライム,スライム,自然,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U3-29,U3,送付画像3,5,5,下位,フレアドラゴ,赤い子ドラゴン,ドラゴン,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U3-30,U3,送付画像3,5,6,下位,ヴェノランタンネ,ランタンを持つ紫の魔法ネコ,幻魔,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U4-01,U4,送付画像4,1,1,上位,ゴルドスライム,王冠とローブをまとったスライム王,スライム,,除外候補,D016,キングスライム系を強く連想しやすい,仮名・要レビュー,暫定・要レビュー
U4-02,U4,送付画像4,1,2,上位,ソルグリフ,金青の装飾を持つ聖獣グリフォン,鳥翼,けもの,採用,D018,金青装飾の白い猛禽の代表案,仮名・要レビュー,暫定・要レビュー
U4-03,U4,送付画像4,1,3,上位,ノクスドラゴ,黒紫の大型ドラゴン,ドラゴン,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U4-04,U4,送付画像4,1,4,上位,トレント,宝珠を抱く巨大な古代樹,自然,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U4-05,U4,送付画像4,1,5,上位,フロストフェニク,氷をまとった青いフェニックス,鳥翼,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U4-06,U4,送付画像4,1,6,上位,フレアゴレム,溶岩でできた巨大ゴーレム,物質,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U4-07,U4,送付画像4,2,1,上位,アクアマリドラ,泡をまとった青赤の海竜,ドラゴン,水棲,除外候補,,U4-21の海竜を採用。海竜の役割が重複,仮名・要レビュー,暫定・要レビュー
U4-08,U4,送付画像4,2,2,上位,リーパー,鎌を持つ騎乗死神,不死,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U4-09,U4,送付画像4,2,3,上位,フォレストクイー,杖を持つ森の妖精女王,自然,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U4-10,U4,送付画像4,2,4,上位,ゴルドドラゴ,金色の大型ドラゴン,ドラゴン,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U4-11,U4,送付画像4,2,5,上位,コズミックアビス,黒い穴を中心にした宇宙触手,幻魔,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U4-12,U4,送付画像4,2,6,上位,ソルナイト,白翼の聖騎士,物質,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U4-13,U4,送付画像4,3,1,上位,フレアガメ,火山を背負った溶岩ガメ,幻魔,,採用,D009,火山を背負う溶岩ガメの代表案,仮名・要レビュー,暫定・要レビュー
U4-14,U4,送付画像4,3,2,上位,ウィスプキュウビ,青い鬼火をまとう九尾の白狐,不死,けもの,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U4-15,U4,送付画像4,3,3,上位,ゴレム,結晶装甲の岩ゴーレム,物質,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U4-16,U4,送付画像4,3,4,上位,ゴルドウォード,金青の大型昆虫戦士,むし,物質,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U4-17,U4,送付画像4,3,5,上位,フレアア,紫炎と角を持つ魔獣,けもの,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U4-18,U4,送付画像4,3,6,上位,ロータスクイーン,水と蓮に包まれた女王,幻魔,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U4-19,U4,送付画像4,4,1,上位,アストラセントス,星をまとった白い神鹿,幻魔,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U4-20,U4,送付画像4,4,2,上位,ノクスウィッチ,仮面とランタンを持つ影の魔女,幻魔,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U4-21,U4,送付画像4,4,3,上位,ゴルドマリドラ,金装甲をまとった青い海竜,ドラゴン,水棲,採用,D007,青い海竜の代表案,仮名・要レビュー,暫定・要レビュー
U4-22,U4,送付画像4,4,4,上位,フレアフェニクス,巨大な炎のフェニックス,鳥翼,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U4-23,U4,送付画像4,4,5,上位,ゴルドリッチ,王冠と杖を持つリッチ王,不死,,採用,D017,王冠と杖のリッチ王の代表案,仮名・要レビュー,暫定・要レビュー
U4-24,U4,送付画像4,4,6,上位,ギガトラップ,巨大化した食虫植物,自然,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U4-25,U4,送付画像4,5,1,上位,アクアウルフ,雷をまとった青いオオカミ,けもの,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U4-26,U4,送付画像4,5,2,上位,アストラホエル,星空を泳ぐ宇宙クジラ,水棲,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U4-27,U4,送付画像4,5,3,上位,ギアトレント,歯車を内蔵した森のゴーレム,自然,物質,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U4-28,U4,送付画像4,5,4,上位,ヴェノドラゴ,結晶翼を持つ青紫ドラゴン,ドラゴン,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U4-29,U4,送付画像4,5,5,上位,ヴェノい,紫髪の呪い人形姫,物質,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U4-30,U4,送付画像4,5,6,上位,ゴルドセレスドラ,雲に乗る金色の天竜,ドラゴン,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U5-01,U5,送付画像5,1,1,中位,アクアスライムイ,泡を出す青いスライム,スライム,,除外候補,D003,U6-01と意匠・役割が近い,仮名・要レビュー,暫定・要レビュー
U5-02,U5,送付画像5,1,2,中位,リーフラム,花と苔をまとった巻角のヒツジ,自然,けもの,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U5-03,U5,送付画像5,1,3,中位,フレアバット,火球を持つ桃色コウモリ,幻魔,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U5-04,U5,送付画像5,1,4,中位,カクタス,トゲのある巨大サボテン獣,自然,けもの,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U5-05,U5,送付画像5,1,5,中位,マジックメデュラ,魔法帽子ランタンのクラゲ,水棲,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U5-06,U5,送付画像5,1,6,中位,フロストラプタ,金青の装飾を持つ白い猛禽,鳥翼,,除外候補,D018,U4-02と意匠・役割が近い,仮名・要レビュー,暫定・要レビュー
U5-07,U5,送付画像5,2,1,中位,アクアマリドラア,泡をまとった青赤の海竜,ドラゴン,水棲,除外候補,D007,U4-21と意匠・役割が近い,仮名・要レビュー,暫定・要レビュー
U5-08,U5,送付画像5,2,2,中位,ナイト,盾と槍を持つカカシ騎士,物質,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U5-09,U5,送付画像5,2,3,中位,ベロボックス,舌を出す宝箱ミミック,物質,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U5-10,U5,送付画像5,2,4,中位,フレアバード,炎をまとった黒い鳥,鳥翼,,採用,D010,炎をまとう黒い鳥の代表案,仮名・要レビュー,暫定・要レビュー
U5-11,U5,送付画像5,2,5,中位,アストララビ,星月をまとった白ウサギ,けもの,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U5-12,U5,送付画像5,2,6,中位,ブックゴレム,本の束でできたゴーレム,物質,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U5-13,U5,送付画像5,3,1,中位,フロストボア,氷の毛と牙を持つイノシシ,けもの,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U5-14,U5,送付画像5,3,2,中位,アイトレント,一つ目の巨大樹人,自然,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U5-15,U5,送付画像5,3,3,中位,ソナマッシュ,太鼓を持つキノコ旅人,自然,物質,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U5-16,U5,送付画像5,3,4,中位,ゴルド,砂をまとった金色の竜,ドラゴン,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U5-17,U5,送付画像5,3,5,中位,フロストドラゴ,氷でできた青いドラゴン,ドラゴン,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U5-18,U5,送付画像5,3,6,中位,ヴェノモール,紫結晶を背負ったモグラ,けもの,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U5-19,U5,送付画像5,4,1,中位,ボルトモス,雷をまとった巨大な蛾,むし,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U5-20,U5,送付画像5,4,2,中位,ノクスウルフ,紫炎をまとった影オオカミ,けもの,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U5-21,U5,送付画像5,4,3,中位,ゴルドシェル,青金の装甲を持つ巻貝昆虫,むし,水棲,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U5-22,U5,送付画像5,4,4,中位,マーシュトレント,湿地をまとった巨大樹,自然,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U5-23,U5,送付画像5,4,5,中位,プリズムフェイ,多色羽の森の妖精,自然,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U5-24,U5,送付画像5,4,6,中位,フレアガメア,火山を背負った溶岩ガメ,幻魔,,除外候補,D009,U4-13と意匠・役割が近い,仮名・要レビュー,暫定・要レビュー
U5-25,U5,送付画像5,5,1,中位,クラウドスパイク,雲に乗る白いトゲ玉,幻魔,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U5-26,U5,送付画像5,5,2,中位,ソナスカル,楽器を弾く魔法使いガイコツ,不死,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U5-27,U5,送付画像5,5,3,中位,ツインマリドラ,二つ首の青赤海竜,ドラゴン,水棲,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U5-28,U5,送付画像5,5,4,中位,アストラスタッグ,星をまとった青い神鹿,幻魔,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U5-29,U5,送付画像5,5,5,中位,ノクスリーパー,大鎌を持つ黒紫の死神,不死,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U5-30,U5,送付画像5,5,6,中位,ゴルドスライムア,王冠とローブの黄金スライム王,スライム,,除外候補,D016,U4-01と意匠・役割が近い,仮名・要レビュー,暫定・要レビュー
U6-01,U6,送付画像6,1,1,下位,ニコスライム,笑顔の青いスライム,スライム,,除外候補,D003,ドラクエ系の笑顔スライムを連想しやすい,仮名・要レビュー,暫定・要レビュー
U6-02,U6,送付画像6,1,2,中位,リーフワイバン,緑の翼竜,ドラゴン,,除外候補,,汎用的な翼竜で、竜族内の個性が弱い,仮名・要レビュー,暫定・要レビュー
U6-03,U6,送付画像6,1,3,中位,フロストイーグル,青白い大ワシ,鳥翼,,除外候補,,汎用的な大ワシで、鳥翼族内の個性が弱い,仮名・要レビュー,暫定・要レビュー
U6-04,U6,送付画像6,1,4,中位,フレアボア,炎のたてがみを持つイノシシ,けもの,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U6-05,U6,送付画像6,1,5,中位,トラッププランイ,大口の巨大食虫植物,自然,,除外候補,D012,U1-26と意匠・役割が近い,仮名・要レビュー,暫定・要レビュー
U6-06,U6,送付画像6,1,6,中位,スカル,剣盾を持つガイコツ兵,不死,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U6-07,U6,送付画像6,2,1,中位,アクアナイト,青い重装騎士,物質,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U6-08,U6,送付画像6,2,2,下位,アイバット,一つ目の紫コウモリ,幻魔,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U6-09,U6,送付画像6,2,3,中位,リーフゴレムイ,苔むした岩ゴーレム,物質,,除外候補,D013,U2-03と意匠・役割が近い,仮名・要レビュー,暫定・要レビュー
U6-10,U6,送付画像6,2,4,下位,アクアメデュラ,青いクラゲ,水棲,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U6-11,U6,送付画像6,2,5,中位,フレアエレメント,人型の炎エレメント,幻魔,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U6-12,U6,送付画像6,2,6,中位,アズールウルフ,青いオオカミ,けもの,,除外候補,,汎用的な青オオカミで、けもの族内の個性が弱い,仮名・要レビュー,暫定・要レビュー
U6-13,U6,送付画像6,3,1,中位,フレアビー,赤い目の巨大ハチ,むし,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U6-14,U6,送付画像6,3,2,下位,ベロゴースト,舌を出す白い幽霊,不死,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U6-15,U6,送付画像6,3,3,中位,アーマータートル,甲羅装甲の緑カメ,けもの,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U6-16,U6,送付画像6,3,4,中位,ボルトバード,雷をまとった青黄の鳥,鳥翼,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U6-17,U6,送付画像6,3,5,下位,アカカサマッシュ,赤傘のキノコ,自然,物質,除外候補,,赤傘キノコはU2-14の旅キノコを優先,仮名・要レビュー,暫定・要レビュー
