a,b,a_desc,b_desc,combined,visual,silhouette,color,text
U4-08,U5-29,鎌を持つ騎乗死神,大鎌を持つ黒紫の死神,0.74297,0.81534,0.80083,0.82883,0.6249
U4-25,U5-20,雷をまとった青いオオカミ,紫炎をまとった影オオカミ,0.74045,0.75019,0.83277,0.67394,0.72455
G3-04,G3-18,洋服ダンスミミック,自動販売機ミミック,0.74036,0.82812,0.87001,0.78948,0.59719
U3-23,U6-17,旅装をしたキノコ,赤傘のキノコ,0.73936,0.83088,0.81146,0.84884,0.59005
G1-10,G3-18,郵便箱ミミック,自動販売機ミミック,0.73899,0.78659,0.84497,0.73275,0.66133
U1-05,U6-10,雲の体を持つクラゲ,青いクラゲ,0.73657,0.80685,0.89634,0.72416,0.6219
U3-26,U6-10,雲の体を持つクラゲ,青いクラゲ,0.73482,0.80403,0.84112,0.76973,0.6219
U1-18,U6-14,提灯を持つ白い幽霊,舌を出す白い幽霊,0.73109,0.82011,0.8309,0.81016,0.58585
U4-28,U5-17,結晶翼を持つ青紫ドラゴン,氷でできた青いドラゴン,0.73057,0.82331,0.80936,0.83622,0.57927
U5-09,G1-24,舌を出す宝箱ミミック,弁当箱ミミック,0.72991,0.73661,0.83184,0.64875,0.71898
U1-10,U2-06,バラの殻を持つカタツムリ,水の体と巻貝を持つカタツムリ,0.72895,0.72795,0.86982,0.59697,0.73058
U4-15,U6-19,結晶装甲の岩ゴーレム,青い氷結晶ゴーレム,0.7288,0.77198,0.75297,0.78958,0.65836
U5-11,U6-20,星月をまとった白ウサギ,角を持つ白ウサギ,0.72868,0.78592,0.7696,0.80105,0.63528
G1-24,G3-18,弁当箱ミミック,自動販売機ミミック,0.72843,0.77041,0.84197,0.70441,0.65993
U5-09,G1-10,舌を出す宝箱ミミック,郵便箱ミミック,0.72826,0.73301,0.83593,0.63802,0.72051
G3-09,G3-18,旅行かばんミミック,自動販売機ミミック,0.72761,0.80819,0.8251,0.79263,0.59615
U1-07,U6-08,木の実を背負った紫コウモリ,一つ目の紫コウモリ,0.72696,0.78948,0.78027,0.79808,0.62496
U2-01,U3-28,葉を生やした緑のスライム,葉のふたを持つ緑の壺スライム,0.72672,0.91582,0.91935,0.9126,0.4182
U2-01,U6-23,葉を生やした緑のスライム,緑の毒スライム,0.72536,0.83538,0.84607,0.82559,0.54587
U1-01,U3-01,葉を生やした青い水スライム,泡を出す青いスライム,0.72503,0.87113,0.86603,0.87589,0.48665
U1-07,U3-06,木の実を背負った紫コウモリ,大耳の紫コウモリ,0.72491,0.77099,0.77495,0.76739,0.64971
U2-17,U5-03,大耳の紫コウモリ,火球を持つ桃色コウモリ,0.72478,0.7951,0.79764,0.79282,0.61005
U2-15,U3-29,葉と角を持つ緑の子ドラゴン,赤い子ドラゴン,0.72286,0.77025,0.85989,0.68759,0.64554
U4-03,U4-10,黒紫の大型ドラゴン,金色の大型ドラゴン,0.72118,0.65734,0.82796,0.49969,0.82535
U3-06,U6-08,大耳の紫コウモリ,一つ目の紫コウモリ,0.72115,0.66873,0.63431,0.70054,0.80666
G1-24,G3-09,弁当箱ミミック,旅行かばんミミック,0.71991,0.75668,0.8583,0.66295,0.65993
U4-01,U5-30,王冠とローブをまとったスライム王,王冠とローブの黄金スライム王,0.71871,0.70861,0.90268,0.52944,0.7352
U1-01,U2-01,葉を生やした青い水スライム,葉を生やした緑のスライム,0.7177,0.7499,0.87509,0.63438,0.66517
U3-28,U6-23,葉のふたを持つ緑の壺スライム,緑の毒スライム,0.71712,0.84375,0.84795,0.83995,0.51052
U4-15,U6-09,結晶装甲の岩ゴーレム,苔むした岩ゴーレム,0.71688,0.81246,0.91007,0.72236,0.56093
G1-24,G3-04,弁当箱ミミック,洋服ダンスミミック,0.71656,0.75057,0.85934,0.65022,0.66108
U1-03,U3-21,青い結晶を背負った甲虫,青い結晶を背負った水の生物,0.71623,0.84035,0.8501,0.83141,0.51371
G1-09,G1-14,懐中時計の子,方位磁針の生物,0.7151,0.87349,0.84063,0.90386,0.45668
U4-07,U4-21,泡をまとった青赤の海竜,金装甲をまとった青い海竜,0.71507,0.84686,0.89746,0.80021,0.50004
U2-12,U5-04,花を咲かせた小型サボテン,トゲのある巨大サボテン獣,0.71456,0.83111,0.86261,0.80215,0.5244
U3-06,U5-03,大耳の紫コウモリ,火球を持つ桃色コウモリ,0.71282,0.77581,0.73788,0.81089,0.61005
U2-09,U6-15,葉を背負った小さなカメ,甲羅装甲の緑カメ,0.71247,0.84846,0.91228,0.78964,0.4906
U2-27,U4-05,氷をまとった白フクロウ,氷をまとった青いフェニックス,0.71246,0.78329,0.78328,0.78335,0.59688
U4-07,U6-24,泡をまとった青赤の海竜,水をまとった青い海竜,0.71022,0.80412,0.85197,0.76001,0.55702
U1-15,U2-11,薬瓶を運ぶ黒いカラス,魔女帽子をかぶった黒いカラス,0.70929,0.81403,0.88451,0.74905,0.53839
U4-27,U6-09,歯車を内蔵した森のゴーレム,苔むした岩ゴーレム,0.70578,0.86242,0.91728,0.81182,0.45021
U1-10,G2-20,バラの殻を持つカタツムリ,巻貝の精,0.70481,0.80676,0.84795,0.76876,0.53848
U3-29,U4-10,赤い子ドラゴン,金色の大型ドラゴン,0.70473,0.75039,0.77247,0.73006,0.63024
U4-02,U5-06,金青の装飾を持つ聖獣グリフォン,金青の装飾を持つ白い猛禽,0.70471,0.79755,0.82266,0.77437,0.55322
U5-22,U6-25,湿地をまとった巨大樹,顔のある巨大樹,0.70431,0.82011,0.8098,0.82966,0.51537
U5-09,G3-18,舌を出す宝箱ミミック,自動販売機ミミック,0.70395,0.77282,0.81101,0.73764,0.59159
U5-09,G3-04,舌を出す宝箱ミミック,洋服ダンスミミック,0.70379,0.77193,0.84134,0.70789,0.59261
U2-04,U6-20,氷結晶を抱く白ウサギ,角を持つ白ウサギ,0.70374,0.7821,0.76055,0.80203,0.5759
U2-03,U4-27,苔むした丸岩ゴーレム,歯車を内蔵した森のゴーレム,0.70369,0.87244,0.90484,0.84257,0.42837
U5-03,U6-08,火球を持つ桃色コウモリ,一つ目の紫コウモリ,0.70338,0.77483,0.77628,0.77353,0.58681
U1-30,U4-07,泡をまとった青い子ドラゴン,泡をまとった青赤の海竜,0.7015,0.82234,0.85846,0.78904,0.50433
U2-18,U3-07,青結晶の殻を持つカタツムリ,青い体と橙色の殻のカタツムリ,0.69989,0.79024,0.87052,0.71624,0.55247
G4-09,G4-29,隕石炉の巨人,火山炉の城塞巨人,0.69919,0.88096,0.89003,0.87262,0.40263
U1-13,U5-04,サボテンを背負った小型恐竜,トゲのある巨大サボテン獣,0.69856,0.8303,0.83766,0.82362,0.48361
U6-09,G3-17,苔むした岩ゴーレム,城入りスノードームゴーレム,0.69853,0.84477,0.90773,0.7867,0.45992
U6-09,G3-20,苔むした岩ゴーレム,郵便ポストゴーレム,0.6967,0.79039,0.89243,0.69616,0.54384
G1-14,G4-27,方位磁針の生物,宇宙方位磁針の巨人,0.69644,0.72707,0.80844,0.65193,0.64645
U2-09,U4-13,葉を背負った小さなカメ,火山を背負った溶岩ガメ,0.69538,0.83078,0.93874,0.7312,0.47446
G1-14,G1-25,方位磁針の生物,砂時計の精,0.69511,0.81526,0.8002,0.82923,0.49908
G4-07,G5-18,磁器の女王,天空と大地をまとった地平の女王,0.69467,0.84094,0.83692,0.84466,0.45602
U2-20,U5-01,泡を出す青いしずくスライム,泡を出す青いスライム,0.69393,0.68327,0.59286,0.76686,0.71133
U3-27,U4-27,苔むした小型岩ゴーレム,歯車を内蔵した森のゴーレム,0.69393,0.86418,0.87777,0.85168,0.41616
G1-09,G1-25,懐中時計の子,砂時計の精,0.69367,0.81433,0.81716,0.81178,0.49681
U5-09,G3-09,舌を出す宝箱ミミック,旅行かばんミミック,0.69349,0.75594,0.80135,0.71407,0.59159
U6-09,G3-10,苔むした岩ゴーレム,道路標識ゴーレム,0.69268,0.76947,0.81103,0.73118,0.56738
U1-28,U4-05,氷結晶をまとった白フクロウ,氷をまとった青いフェニックス,0.69252,0.79467,0.77421,0.81363,0.52586
U1-22,U2-12,葉を生やしたカボチャの精,花を咲かせた小型サボテン,0.69041,0.83135,0.89743,0.77048,0.46045
G4-28,G5-17,虹結晶の大聖堂,紫光を放つ星雲大聖堂,0.68995,0.82488,0.84531,0.80603,0.4698
U1-20,U6-23,星をまとった黄色いスライム,緑の毒スライム,0.68959,0.78113,0.84459,0.72256,0.54022
G4-17,G5-07,ルーレット魔王,黒紫の深淵魔王,0.6889,0.84901,0.85915,0.83967,0.42766
U5-07,U6-24,泡をまとった青赤の海竜,水をまとった青い海竜,0.68858,0.76921,0.80015,0.74073,0.55702
U1-01,U6-01,葉を生やした青い水スライム,笑顔の青いスライム,0.68832,0.81429,0.83008,0.79979,0.48278
U1-10,U1-21,バラの殻を持つカタツムリ,貝殻を背負った泡の生物,0.68779,0.84569,0.87438,0.81922,0.43017
U1-01,U5-01,葉を生やした青い水スライム,泡を出す青いスライム,0.6875,0.8106,0.79465,0.8254,0.48665
U1-30,U5-17,泡をまとった青い子ドラゴン,氷でできた青いドラゴン,0.68727,0.8057,0.77368,0.83534,0.49405
U1-07,U5-03,木の実を背負った紫コウモリ,火球を持つ桃色コウモリ,0.68694,0.79007,0.80747,0.77408,0.51869
U1-30,U6-24,泡をまとった青い子ドラゴン,水をまとった青い海竜,0.68618,0.79287,0.85837,0.73247,0.51212
U1-30,U4-21,泡をまとった青い子ドラゴン,金装甲をまとった青い海竜,0.68591,0.82453,0.879,0.77431,0.45974
G4-11,G4-28,摩天楼の巨人,虹結晶の大聖堂,0.68471,0.8448,0.86468,0.82646,0.42353
U1-10,U3-07,バラの殻を持つカタツムリ,青い体と橙色の殻のカタツムリ,0.68439,0.7248,0.82584,0.63151,0.61846
U6-09,G3-02,苔むした岩ゴーレム,ティーポットゴーレム,0.68347,0.78141,0.8064,0.75843,0.52368
U4-21,U5-07,金装甲をまとった青い海竜,泡をまとった青赤の海竜,0.68324,0.79552,0.84167,0.753,0.50004
U2-03,G3-10,苔むした丸岩ゴーレム,道路標識ゴーレム,0.68216,0.76938,0.80449,0.73708,0.53986
G3-02,G3-20,ティーポットゴーレム,郵便ポストゴーレム,0.68212,0.73896,0.79628,0.68612,0.58938
G4-01,G4-11,大聖堂の鐘を宿す巨像,摩天楼の巨人,0.68174,0.88454,0.89768,0.87241,0.35085
U1-30,U4-28,泡をまとった青い子ドラゴン,結晶翼を持つ青紫ドラゴン,0.68145,0.83035,0.84136,0.82022,0.43851
U3-27,U5-12,苔むした小型岩ゴーレム,本の束でできたゴーレム,0.68131,0.81027,0.82237,0.79912,0.47092
U2-20,U3-01,泡を出す青いしずくスライム,泡を出す青いスライム,0.68058,0.66174,0.56108,0.7548,0.71133
G4-02,G4-11,時計仕掛けの宮殿巨人,摩天楼の巨人,0.68026,0.85253,0.84809,0.85661,0.3992
U5-12,U6-09,本の束でできたゴーレム,苔むした岩ゴーレム,0.6794,0.78356,0.77821,0.78856,0.50945
G3-06,G4-13,傘槍の戦士,彗星剣の戦士,0.67895,0.70281,0.71348,0.69305,0.64002
U2-03,G3-02,苔むした丸岩ゴーレム,ティーポットゴーレム,0.6788,0.78943,0.8291,0.75293,0.49828
U3-08,U3-16,葉でできた小鳥,炎をまとった黒い小鳥,0.67844,0.76563,0.80503,0.72935,0.53618
U6-22,G3-05,黒赤装甲の巨大カニ,時計仕掛けのカニ,0.67762,0.81853,0.82985,0.8082,0.44773
U2-03,G3-20,苔むした丸岩ゴーレム,郵便ポストゴーレム,0.67735,0.77535,0.85706,0.7,0.51746
U2-15,U4-10,葉と角を持つ緑の子ドラゴン,金色の大型ドラゴン,0.67671,0.77577,0.82791,0.72769,0.51509
U4-07,U5-27,泡をまとった青赤の海竜,二つ首の青赤海竜,0.67656,0.84869,0.85737,0.84074,0.39572
G4-22,G4-25,遊園地を背負う巨像,星空球を抱く巨像,0.6758,0.85986,0.8584,0.86126,0.3755
U1-13,U1-22,サボテンを背負った小型恐竜,葉を生やしたカボチャの精,0.6747,0.82798,0.89435,0.76685,0.42463
U5-27,U6-24,二つ首の青赤海竜,水をまとった青い海竜,0.6744,0.84789,0.85946,0.83726,0.39133
U4-15,G3-17,結晶装甲の岩ゴーレム,城入りスノードームゴーレム,0.6743,0.83739,0.91311,0.76751,0.40821
U4-21,U5-27,金装甲をまとった青い海竜,二つ首の青赤海竜,0.67402,0.87182,0.89512,0.85036,0.35131
G4-28,G5-25,虹結晶の大聖堂,宙に浮く虚無宮殿,0.67362,0.85108,0.84067,0.86073,0.38407
U4-13,U6-15,火山を背負った溶岩ガメ,甲羅装甲の緑カメ,0.67316,0.84374,0.8969,0.79475,0.39484
U3-27,G3-17,苔むした小型岩ゴーレム,城入りスノードームゴーレム,0.67308,0.82505,0.89912,0.75674,0.42513
U3-27,U4-15,苔むした小型岩ゴーレム,結晶装甲の岩ゴーレム,0.67147,0.76523,0.91779,0.62439,0.51851
G3-10,G3-20,道路標識ゴーレム,郵便ポストゴーレム,0.66984,0.74365,0.75621,0.73214,0.5494
G4-16,G5-29,操り人形の王,赤黒の宇宙操り人形皇帝,0.66948,0.8238,0.78788,0.85701,0.4177
U6-07,G3-21,青い重装騎士,ケーキ騎士,0.66933,0.76691,0.83434,0.70472,0.51011
U3-27,U4-06,苔むした小型岩ゴーレム,溶岩でできた巨大ゴーレム,0.66865,0.82261,0.87612,0.77325,0.41745
U1-22,U5-04,葉を生やしたカボチャの精,トゲのある巨大サボテン獣,0.66822,0.79697,0.8206,0.77529,0.45814
U1-30,U5-07,泡をまとった青い子ドラゴン,泡をまとった青赤の海竜,0.66776,0.76793,0.81624,0.72337,0.50433
G4-01,G4-28,大聖堂の鐘を宿す巨像,虹結晶の大聖堂,0.66761,0.83731,0.83923,0.83556,0.39073
U2-03,U4-06,苔むした丸岩ゴーレム,溶岩でできた巨大ゴーレム,0.66737,0.81304,0.8666,0.76366,0.4297
G4-01,G4-02,大聖堂の鐘を宿す巨像,時計仕掛けの宮殿巨人,0.66635,0.91105,0.88573,0.93445,0.26711
U3-27,G3-10,苔むした小型岩ゴーレム,道路標識ゴーレム,0.66628,0.7532,0.76579,0.7417,0.52446
U2-03,U4-15,苔むした丸岩ゴーレム,結晶装甲の岩ゴーレム,0.66501,0.74548,0.90408,0.59906,0.53372
U2-21,U6-22,岩の体と赤いハサミを持つヤドカリ,黒赤装甲の巨大カニ,0.66432,0.86501,0.89337,0.83891,0.33687
U2-02,G3-26,炎の尾を持つ小さなキツネ,時計仕掛けのキツネ,0.66381,0.75902,0.7902,0.73029,0.50845
U4-12,G3-21,白翼の聖騎士,ケーキ騎士,0.66301,0.76168,0.77168,0.7525,0.50203
U2-03,G3-17,苔むした丸岩ゴーレム,城入りスノードームゴーレム,0.66279,0.80081,0.90109,0.70831,0.43761
U1-20,U5-30,星をまとった黄色いスライム,王冠とローブの黄金スライム王,0.66257,0.86892,0.87678,0.86172,0.32589
U4-08,U6-29,鎌を持つ騎乗死神,王冠と杖を持つ黒いリッチ王,0.66185,0.83264,0.87793,0.79089,0.38318
U3-27,G3-02,苔むした小型岩ゴーレム,ティーポットゴーレム,0.66175,0.77065,0.78719,0.7555,0.48407
U2-04,U5-11,氷結晶を抱く白ウサギ,星月をまとった白ウサギ,0.66137,0.74766,0.76155,0.73483,0.52057
U1-24,U6-13,光る腹を持つハチ,赤い目の巨大ハチ,0.66118,0.76828,0.79916,0.73981,0.48644
U2-26,U5-10,炎をまとった黒い子獣,炎をまとった黒い鳥,0.66104,0.81778,0.84649,0.79135,0.40531
U6-07,G4-10,青い重装騎士,鏡の迷宮騎士,0.66052,0.79475,0.86618,0.72884,0.44151
G4-27,G5-16,宇宙方位磁針の巨人,世界時計の機械神,0.66045,0.83693,0.83258,0.84101,0.3725
U1-20,U6-30,星をまとった黄色いスライム,王冠と口ひげの黄金スライム王,0.6603,0.8675,0.87758,0.85822,0.32225
G3-02,G3-17,ティーポットゴーレム,城入りスノードームゴーレム,0.66003,0.80173,0.82124,0.78379,0.42884
G4-07,G5-03,磁器の女王,月を背負う優雅な女王,0.65981,0.80854,0.84616,0.77384,0.41716
U3-14,U4-14,青い鬼火をまとった白い霊体,青い鬼火をまとう九尾の白狐,0.65959,0.82789,0.8659,0.79279,0.38498
G5-17,G5-25,紫光を放つ星雲大聖堂,宙に浮く虚無宮殿,0.65832,0.82734,0.87166,0.78639,0.38256
G1-14,G3-30,方位磁針の生物,機械仕掛けの巨大方位磁針,0.6572,0.74824,0.74653,0.74989,0.50866
U5-06,U6-03,金青の装飾を持つ白い猛禽,青白い大ワシ,0.65621,0.84405,0.84018,0.84767,0.34973
U1-21,G2-20,貝殻を背負った泡の生物,巻貝の精,0.65573,0.78971,0.84227,0.74121,0.43712
G3-21,G4-10,ケーキ騎士,鏡の迷宮騎士,0.65567,0.7684,0.814,0.72633,0.47176
U6-23,U6-30,緑の毒スライム,王冠と口ひげの黄金スライム王,0.6554,0.82213,0.88418,0.76491,0.38337
G3-21,G3-24,ケーキ騎士,チェスのルーク騎士,0.65471,0.79461,0.81847,0.77264,0.42643
U4-14,U4-25,青い鬼火をまとう九尾の白狐,雷をまとった青いオオカミ,0.65402,0.82481,0.87333,0.78001,0.37537
U2-03,U5-12,苔むした丸岩ゴーレム,本の束でできたゴーレム,0.65378,0.75738,0.79789,0.72,0.48474
U4-10,U5-16,金色の大型ドラゴン,砂をまとった金色の竜,0.65282,0.82118,0.79125,0.84889,0.37813
U4-01,U6-30,王冠とローブをまとったスライム王,王冠と口ひげの黄金スライム王,0.65275,0.69484,0.90473,0.50107,0.58408
U3-27,G3-20,苔むした小型岩ゴーレム,郵便ポストゴーレム,0.65275,0.74471,0.81798,0.67714,0.5027
G4-14,G5-16,日時計の巨像,世界時計の機械神,0.65192,0.83153,0.7986,0.86199,0.35887
U5-15,U6-17,太鼓を持つキノコ旅人,赤傘のキノコ,0.6517,0.81148,0.82835,0.79595,0.39102
U3-29,U4-03,赤い子ドラゴン,黒紫の大型ドラゴン,0.65163,0.66475,0.79399,0.54541,0.63024
U4-10,U6-02,金色の大型ドラゴン,緑の翼竜,0.65117,0.81058,0.86501,0.76038,0.39108
G4-16,G4-17,操り人形の王,ルーレット魔王,0.65116,0.83508,0.78824,0.87837,0.3511
G1-25,G5-16,砂時計の精,世界時計の機械神,0.651,0.77193,0.78507,0.75983,0.45369
G4-11,G5-25,摩天楼の巨人,宙に浮く虚無宮殿,0.65032,0.78923,0.74783,0.82746,0.42368
U4-06,U4-27,溶岩でできた巨大ゴーレム,歯車を内蔵した森のゴーレム,0.65003,0.81978,0.83413,0.80657,0.37306
G3-02,G3-10,ティーポットゴーレム,道路標識ゴーレム,0.64988,0.72395,0.72951,0.71895,0.52904
U4-10,U4-30,金色の大型ドラゴン,雲に乗る金色の天竜,0.64958,0.82644,0.83143,0.82186,0.36103
U1-23,G4-19,石像になった小型ガーゴイル,巨大鐘のガーゴイル,0.64939,0.84455,0.84336,0.84569,0.33097
U4-27,G3-20,歯車を内蔵した森のゴーレム,郵便ポストゴーレム,0.64932,0.78733,0.86114,0.7192,0.42415
U3-29,U6-02,赤い子ドラゴン,緑の翼竜,0.64925,0.78346,0.80855,0.76034,0.43028
U4-27,G3-02,歯車を内蔵した森のゴーレム,ティーポットゴーレム,0.64818,0.79512,0.79731,0.79317,0.40843
U5-05,U6-10,魔法帽子ランタンのクラゲ,青いクラゲ,0.64785,0.72044,0.7591,0.68481,0.52943
U2-23,U6-03,青白いグリフォン,青白い大ワシ,0.64765,0.77833,0.8303,0.73041,0.43444
U5-12,G3-02,本の束でできたゴーレム,ティーポットゴーレム,0.6476,0.75337,0.78458,0.72461,0.47503
U4-01,U5-01,王冠とローブをまとったスライム王,泡を出す青いスライム,0.64725,0.82415,0.85907,0.79198,0.35862
U4-04,U6-25,宝珠を抱く巨大な古代樹,顔のある巨大樹,0.6468,0.86378,0.87563,0.8529,0.29278
U4-12,G4-10,白翼の聖騎士,鏡の迷宮騎士,0.64644,0.77633,0.85219,0.70627,0.43452
U2-14,U5-15,旅装をしたキノコ,太鼓を持つキノコ旅人,0.64606,0.81989,0.85018,0.79197,0.36245
U4-06,U5-12,溶岩でできた巨大ゴーレム,本の束でできたゴーレム,0.64593,0.73622,0.80323,0.67433,0.49861
U4-27,G3-10,歯車を内蔵した森のゴーレム,道路標識ゴーレム,0.64544,0.76982,0.78537,0.75554,0.44251
U5-29,U6-29,大鎌を持つ黒紫の死神,王冠と杖を持つ黒いリッチ王,0.64544,0.78777,0.81759,0.76031,0.41323
U1-14,G3-28,紫炎でできた一つ目の霊体,鏡の霊体,0.64442,0.73687,0.83787,0.64358,0.49359
U1-08,U2-08,青い鬼火をまとった小さなガイコツ,紫の鬼火に包まれたドクロ,0.64405,0.74803,0.79501,0.70468,0.4744
U4-27,G3-17,歯車を内蔵した森のゴーレム,城入りスノードームゴーレム,0.64387,0.81865,0.90717,0.73698,0.3587
G4-16,G5-07,操り人形の王,黒紫の深淵魔王,0.64358,0.82485,0.82972,0.82038,0.34783
G4-11,G4-29,摩天楼の巨人,火山炉の城塞巨人,0.64282,0.79153,0.83092,0.75518,0.40018
U2-26,U3-16,炎をまとった黒い子獣,炎をまとった黒い小鳥,0.64272,0.79833,0.80057,0.79635,0.38882
U1-20,U2-01,星をまとった黄色いスライム,葉を生やした緑のスライム,0.64237,0.76486,0.86956,0.66822,0.44252
U4-01,U6-01,王冠とローブをまとったスライム王,笑顔の青いスライム,0.64195,0.81736,0.85069,0.78666,0.35577
U3-08,U5-10,葉でできた小鳥,炎をまとった黒い鳥,0.64141,0.74969,0.79474,0.70819,0.46475
