bloodline_type,partner_type,result_primary_type,partner_influence,visual_rule,system_rule
ドラゴン,物質,ドラゴン,装甲、機構、無機質化,鱗・角・尾・ブレス器官を主身体に保ち、鉱石・道具・機械・建築を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
ドラゴン,不死,ドラゴン,呪い、吸収、夜行,鱗・角・尾・ブレス器官を主身体に保ち、骨・霊火・影・包帯を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
ドラゴン,幻魔,ドラゴン,魔法、幻惑、儀式,鱗・角・尾・ブレス器官を主身体に保ち、魔力体・人型・異界器官を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
けもの,スライム,けもの,柔軟、分裂、吸収,毛皮・牙・四肢を主身体に保ち、粘体・滴・弾力を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
けもの,ドラゴン,けもの,鱗、息、威圧,毛皮・牙・四肢を主身体に保ち、鱗・角・尾・ブレス器官を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
けもの,けもの,けもの,本能、嗅覚、突進,毛皮・牙・四肢を主身体に保ち、毛皮・牙・四肢を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
けもの,鳥翼,けもの,飛行、風、歌声,毛皮・牙・四肢を主身体に保ち、翼・羽毛・くちばしを20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
けもの,自然,けもの,再生、胞子、根,毛皮・牙・四肢を主身体に保ち、葉・菌糸・樹皮・花を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
けもの,むし,けもの,毒、糸、群れ,毛皮・牙・四肢を主身体に保ち、外骨格・複眼・節足を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
けもの,水棲,けもの,水中適応、泡、潮,毛皮・牙・四肢を主身体に保ち、ひれ・えら・殻・触手を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
けもの,物質,けもの,装甲、機構、無機質化,毛皮・牙・四肢を主身体に保ち、鉱石・道具・機械・建築を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
けもの,不死,けもの,呪い、吸収、夜行,毛皮・牙・四肢を主身体に保ち、骨・霊火・影・包帯を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
けもの,幻魔,けもの,魔法、幻惑、儀式,毛皮・牙・四肢を主身体に保ち、魔力体・人型・異界器官を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
鳥翼,スライム,鳥翼,柔軟、分裂、吸収,翼・羽毛・くちばしを主身体に保ち、粘体・滴・弾力を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
鳥翼,ドラゴン,鳥翼,鱗、息、威圧,翼・羽毛・くちばしを主身体に保ち、鱗・角・尾・ブレス器官を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
鳥翼,けもの,鳥翼,本能、嗅覚、突進,翼・羽毛・くちばしを主身体に保ち、毛皮・牙・四肢を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
鳥翼,鳥翼,鳥翼,飛行、風、歌声,翼・羽毛・くちばしを主身体に保ち、翼・羽毛・くちばしを20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
鳥翼,自然,鳥翼,再生、胞子、根,翼・羽毛・くちばしを主身体に保ち、葉・菌糸・樹皮・花を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
鳥翼,むし,鳥翼,毒、糸、群れ,翼・羽毛・くちばしを主身体に保ち、外骨格・複眼・節足を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
鳥翼,水棲,鳥翼,水中適応、泡、潮,翼・羽毛・くちばしを主身体に保ち、ひれ・えら・殻・触手を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
鳥翼,物質,鳥翼,装甲、機構、無機質化,翼・羽毛・くちばしを主身体に保ち、鉱石・道具・機械・建築を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
鳥翼,不死,鳥翼,呪い、吸収、夜行,翼・羽毛・くちばしを主身体に保ち、骨・霊火・影・包帯を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
鳥翼,幻魔,鳥翼,魔法、幻惑、儀式,翼・羽毛・くちばしを主身体に保ち、魔力体・人型・異界器官を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
自然,スライム,自然,柔軟、分裂、吸収,葉・菌糸・樹皮・花を主身体に保ち、粘体・滴・弾力を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
自然,ドラゴン,自然,鱗、息、威圧,葉・菌糸・樹皮・花を主身体に保ち、鱗・角・尾・ブレス器官を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
自然,けもの,自然,本能、嗅覚、突進,葉・菌糸・樹皮・花を主身体に保ち、毛皮・牙・四肢を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
自然,鳥翼,自然,飛行、風、歌声,葉・菌糸・樹皮・花を主身体に保ち、翼・羽毛・くちばしを20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
自然,自然,自然,再生、胞子、根,葉・菌糸・樹皮・花を主身体に保ち、葉・菌糸・樹皮・花を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
自然,むし,自然,毒、糸、群れ,葉・菌糸・樹皮・花を主身体に保ち、外骨格・複眼・節足を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
自然,水棲,自然,水中適応、泡、潮,葉・菌糸・樹皮・花を主身体に保ち、ひれ・えら・殻・触手を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
自然,物質,自然,装甲、機構、無機質化,葉・菌糸・樹皮・花を主身体に保ち、鉱石・道具・機械・建築を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
自然,不死,自然,呪い、吸収、夜行,葉・菌糸・樹皮・花を主身体に保ち、骨・霊火・影・包帯を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
自然,幻魔,自然,魔法、幻惑、儀式,葉・菌糸・樹皮・花を主身体に保ち、魔力体・人型・異界器官を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
むし,スライム,むし,柔軟、分裂、吸収,外骨格・複眼・節足を主身体に保ち、粘体・滴・弾力を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
むし,ドラゴン,むし,鱗、息、威圧,外骨格・複眼・節足を主身体に保ち、鱗・角・尾・ブレス器官を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
むし,けもの,むし,本能、嗅覚、突進,外骨格・複眼・節足を主身体に保ち、毛皮・牙・四肢を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
むし,鳥翼,むし,飛行、風、歌声,外骨格・複眼・節足を主身体に保ち、翼・羽毛・くちばしを20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
むし,自然,むし,再生、胞子、根,外骨格・複眼・節足を主身体に保ち、葉・菌糸・樹皮・花を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
むし,むし,むし,毒、糸、群れ,外骨格・複眼・節足を主身体に保ち、外骨格・複眼・節足を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
むし,水棲,むし,水中適応、泡、潮,外骨格・複眼・節足を主身体に保ち、ひれ・えら・殻・触手を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
むし,物質,むし,装甲、機構、無機質化,外骨格・複眼・節足を主身体に保ち、鉱石・道具・機械・建築を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
むし,不死,むし,呪い、吸収、夜行,外骨格・複眼・節足を主身体に保ち、骨・霊火・影・包帯を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
むし,幻魔,むし,魔法、幻惑、儀式,外骨格・複眼・節足を主身体に保ち、魔力体・人型・異界器官を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
水棲,スライム,水棲,柔軟、分裂、吸収,ひれ・えら・殻・触手を主身体に保ち、粘体・滴・弾力を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
水棲,ドラゴン,水棲,鱗、息、威圧,ひれ・えら・殻・触手を主身体に保ち、鱗・角・尾・ブレス器官を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
水棲,けもの,水棲,本能、嗅覚、突進,ひれ・えら・殻・触手を主身体に保ち、毛皮・牙・四肢を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
水棲,鳥翼,水棲,飛行、風、歌声,ひれ・えら・殻・触手を主身体に保ち、翼・羽毛・くちばしを20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
水棲,自然,水棲,再生、胞子、根,ひれ・えら・殻・触手を主身体に保ち、葉・菌糸・樹皮・花を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
水棲,むし,水棲,毒、糸、群れ,ひれ・えら・殻・触手を主身体に保ち、外骨格・複眼・節足を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
水棲,水棲,水棲,水中適応、泡、潮,ひれ・えら・殻・触手を主身体に保ち、ひれ・えら・殻・触手を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
水棲,物質,水棲,装甲、機構、無機質化,ひれ・えら・殻・触手を主身体に保ち、鉱石・道具・機械・建築を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
水棲,不死,水棲,呪い、吸収、夜行,ひれ・えら・殻・触手を主身体に保ち、骨・霊火・影・包帯を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
水棲,幻魔,水棲,魔法、幻惑、儀式,ひれ・えら・殻・触手を主身体に保ち、魔力体・人型・異界器官を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
物質,スライム,物質,柔軟、分裂、吸収,鉱石・道具・機械・建築を主身体に保ち、粘体・滴・弾力を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
物質,ドラゴン,物質,鱗、息、威圧,鉱石・道具・機械・建築を主身体に保ち、鱗・角・尾・ブレス器官を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
物質,けもの,物質,本能、嗅覚、突進,鉱石・道具・機械・建築を主身体に保ち、毛皮・牙・四肢を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
物質,鳥翼,物質,飛行、風、歌声,鉱石・道具・機械・建築を主身体に保ち、翼・羽毛・くちばしを20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
物質,自然,物質,再生、胞子、根,鉱石・道具・機械・建築を主身体に保ち、葉・菌糸・樹皮・花を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
物質,むし,物質,毒、糸、群れ,鉱石・道具・機械・建築を主身体に保ち、外骨格・複眼・節足を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
物質,水棲,物質,水中適応、泡、潮,鉱石・道具・機械・建築を主身体に保ち、ひれ・えら・殻・触手を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
物質,物質,物質,装甲、機構、無機質化,鉱石・道具・機械・建築を主身体に保ち、鉱石・道具・機械・建築を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
物質,不死,物質,呪い、吸収、夜行,鉱石・道具・機械・建築を主身体に保ち、骨・霊火・影・包帯を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
物質,幻魔,物質,魔法、幻惑、儀式,鉱石・道具・機械・建築を主身体に保ち、魔力体・人型・異界器官を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
不死,スライム,不死,柔軟、分裂、吸収,骨・霊火・影・包帯を主身体に保ち、粘体・滴・弾力を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
不死,ドラゴン,不死,鱗、息、威圧,骨・霊火・影・包帯を主身体に保ち、鱗・角・尾・ブレス器官を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
不死,けもの,不死,本能、嗅覚、突進,骨・霊火・影・包帯を主身体に保ち、毛皮・牙・四肢を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
不死,鳥翼,不死,飛行、風、歌声,骨・霊火・影・包帯を主身体に保ち、翼・羽毛・くちばしを20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
不死,自然,不死,再生、胞子、根,骨・霊火・影・包帯を主身体に保ち、葉・菌糸・樹皮・花を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
不死,むし,不死,毒、糸、群れ,骨・霊火・影・包帯を主身体に保ち、外骨格・複眼・節足を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
不死,水棲,不死,水中適応、泡、潮,骨・霊火・影・包帯を主身体に保ち、ひれ・えら・殻・触手を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
不死,物質,不死,装甲、機構、無機質化,骨・霊火・影・包帯を主身体に保ち、鉱石・道具・機械・建築を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
不死,不死,不死,呪い、吸収、夜行,骨・霊火・影・包帯を主身体に保ち、骨・霊火・影・包帯を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
不死,幻魔,不死,魔法、幻惑、儀式,骨・霊火・影・包帯を主身体に保ち、魔力体・人型・異界器官を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
幻魔,スライム,幻魔,柔軟、分裂、吸収,魔力体・人型・異界器官を主身体に保ち、粘体・滴・弾力を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
幻魔,ドラゴン,幻魔,鱗、息、威圧,魔力体・人型・異界器官を主身体に保ち、鱗・角・尾・ブレス器官を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
幻魔,けもの,幻魔,本能、嗅覚、突進,魔力体・人型・異界器官を主身体に保ち、毛皮・牙・四肢を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
幻魔,鳥翼,幻魔,飛行、風、歌声,魔力体・人型・異界器官を主身体に保ち、翼・羽毛・くちばしを20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
幻魔,自然,幻魔,再生、胞子、根,魔力体・人型・異界器官を主身体に保ち、葉・菌糸・樹皮・花を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
幻魔,むし,幻魔,毒、糸、群れ,魔力体・人型・異界器官を主身体に保ち、外骨格・複眼・節足を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
幻魔,水棲,幻魔,水中適応、泡、潮,魔力体・人型・異界器官を主身体に保ち、ひれ・えら・殻・触手を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
幻魔,物質,幻魔,装甲、機構、無機質化,魔力体・人型・異界器官を主身体に保ち、鉱石・道具・機械・建築を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
幻魔,不死,幻魔,呪い、吸収、夜行,魔力体・人型・異界器官を主身体に保ち、骨・霊火・影・包帯を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
幻魔,幻魔,幻魔,魔法、幻惑、儀式,魔力体・人型・異界器官を主身体に保ち、魔力体・人型・異界器官を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
